250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 51.0989010989011; p3 0.10624169986719786; 
250 p1 1; p2 52.1978021978022; p3 0.21248339973439573; 
250 p1 1; p2 51.0989010989011; p3 0.0; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 53.2967032967033; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.903054448871182; 
250 p1 1; p2 51.0989010989011; p3 1.0092961487383798; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 52.1978021978022; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 52.1978021978022; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 57.69230769230769; p3 0.5312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.37184594953519257; 
250 p1 1; p2 50.0; p3 0.3187250996015936; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 54.395604395604394; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 52.1978021978022; p3 0.2656042496679947; 
250 p1 1; p2 51.0989010989011; p3 0.37184594953519257; 
250 p1 1; p2 57.69230769230769; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.05312084993359893; 
250 p1 1; p2 57.69230769230769; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 53.2967032967033; p3 1.0092961487383798; 
250 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 2; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.42496679946879146; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 1.7529880478087652; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 53.2967032967033; p3 6.162018592297476; 
250 p1 1; p2 55.494505494505496; p3 1.0624169986719787; 
250 p1 1; p2 103.84615384615384; p3 0.3187250996015936; 
250 p1 1; p2 54.395604395604394; p3 1.7529880478087652; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
250 p1 1; p2 51.0989010989011; p3 0.5312084993359893; 
250 p1 1; p2 59.89010989010989; p3 0.47808764940239046; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
250 p1 1; p2 53.2967032967033; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 52.1978021978022; p3 0.21248339973439573; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 52.1978021978022; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
250 p1 1; p2 51.0989010989011; p3 0.2656042496679947; 
250 p1 1; p2 51.0989010989011; p3 0.1593625498007968; 
250 p1 1; p2 62.08791208791209; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.21248339973439573; 
250 p1 1; p2 53.2967032967033; p3 0.37184594953519257; 
250 p1 1; p2 57.69230769230769; p3 0.10624169986719786; 
250 p1 1; p2 89.56043956043956; p3 0.05312084993359893; 
250 p1 1; p2 52.1978021978022; p3 0.0; 
250 p1 1; p2 50.0; p3 0.05312084993359893; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 50.0; p3 0.2656042496679947; 
250 p1 1; p2 50.0; p3 0.10624169986719786; 
250 p1 1; p2 51.0989010989011; p3 0.10624169986719786; 
250 p1 1; p2 50.0; p3 0.1593625498007968; 
250 p1 1; p2 51.0989010989011; p3 0.1593625498007968; 
250 p1 1; p2 50.0; p3 0.0; 
250 p1 1; p2 52.1978021978022; p3 0.37184594953519257; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
250 p1 1; p2 51.0989010989011; p3 0.21248339973439573; 
